method_id,example_role,error_type,n_pairs,top5_count,top10_count,irrelevant_top5,irrelevant_top10
preliminary_score_v1,hard_negative,wrong_modality,2,1,1,1,1
preliminary_score_v1,hard_negative,wrong_modality_and_task,1,1,1,1,1
preliminary_score_v1,hard_negative,wrong_modality_no_ml,1,1,1,1,1
preliminary_score_v1,hard_negative,wrong_object_and_method_name,1,0,0,0,0
preliminary_score_v1,boundary,generation_vs_preprocessing,1,0,0,0,0
preliminary_score_v1,boundary,object_classification_vs_stellar_type,1,1,1,1,1
preliminary_score_v1,unclassified,unclassified,40,9,20,8,16
rrf_bm25_specter2_v1,scope_in,scope_in,6,4,5,0,0
rrf_bm25_specter2_v1,hard_negative,classification_vs_regression,1,0,1,0,1
rrf_bm25_specter2_v1,hard_negative,downstream_task,2,0,2,0,2
rrf_bm25_specter2_v1,hard_negative,existing_labels_as_input,1,0,1,0,1
rrf_bm25_specter2_v1,hard_negative,wrong_astronomical_object,1,0,0,0,0
rrf_bm25_specter2_v1,hard_negative,wrong_domain,2,0,1,0,1
rrf_bm25_specter2_v1,hard_negative,wrong_modality,2,0,0,0,0
rrf_bm25_specter2_v1,hard_negative,wrong_modality_and_task,1,1,1,1,1
rrf_bm25_specter2_v1,hard_negative,wrong_modality_no_ml,1,0,1,0,1
rrf_bm25_specter2_v1,hard_negative,wrong_object_and_method_name,1,0,1,0,1
rrf_bm25_specter2_v1,boundary,generation_vs_preprocessing,1,1,1,1,1
rrf_bm25_specter2_v1,boundary,object_classification_vs_stellar_type,1,1,1,1,1
rrf_bm25_specter2_v1,unclassified,unclassified,40,8,15,5,9
specter2_adhoc_v1,scope_in,scope_in,6,3,5,0,0
specter2_adhoc_v1,hard_negative,classification_vs_regression,1,1,1,1,1
specter2_adhoc_v1,hard_negative,downstream_task,2,0,2,0,2
specter2_adhoc_v1,hard_negative,existing_labels_as_input,1,0,0,0,0
specter2_adhoc_v1,hard_negative,wrong_astronomical_object,1,0,0,0,0
specter2_adhoc_v1,hard_negative,wrong_domain,2,0,0,0,0
specter2_adhoc_v1,hard_negative,wrong_modality,2,0,0,0,0
specter2_adhoc_v1,hard_negative,wrong_modality_and_task,1,0,1,0,1
specter2_adhoc_v1,hard_negative,wrong_modality_no_ml,1,0,0,0,0
specter2_adhoc_v1,hard_negative,wrong_object_and_method_name,1,0,1,0,1
specter2_adhoc_v1,boundary,generation_vs_preprocessing,1,1,1,1,1
specter2_adhoc_v1,boundary,object_classification_vs_stellar_type,1,1,1,1,1
specter2_adhoc_v1,unclassified,unclassified,40,9,18,6,11
tfidf_two_stage_v1,scope_in,scope_in,6,3,3,0,0
tfidf_two_stage_v1,hard_negative,classification_vs_regression,1,1,1,1,1
tfidf_two_stage_v1,hard_negative,downstream_task,2,0,1,0,1
tfidf_two_stage_v1,hard_negative,existing_labels_as_input,1,0,0,0,0
tfidf_two_stage_v1,hard_negative,wrong_astronomical_object,1,0,0,0,0
tfidf_two_stage_v1,hard_negative,wrong_domain,2,0,1,0,1
tfidf_two_stage_v1,hard_negative,wrong_modality,2,0,0,0,0
tfidf_two_stage_v1,hard_negative,wrong_modality_and_task,1,1,1,1,1
tfidf_two_stage_v1,hard_negative,wrong_modality_no_ml,1,0,0,0,0
tfidf_two_stage_v1,hard_negative,wrong_object_and_method_name,1,0,1,0,1
tfidf_two_stage_v1,boundary,generation_vs_preprocessing,1,0,1,0,1
tfidf_two_stage_v1,boundary,object_classification_vs_stellar_type,1,1,1,1,1
tfidf_two_stage_v1,unclassified,unclassified,40,9,20,8,15
