example_id,research_query_id,pair_id,openalex_id,title,example_role,boundary_type,input_data,method_role,core_output,boundary_reason,lexical_risk,potential_improvement
qb_011,rq02_stellar_parameters,w4_rq02_014,https://openalex.org/W2777402735,Carbon Stars Identified from LAMOST DR4 Using Machine Learning,hard_negative,classification_vs_regression,LAMOST恒星光谱,机器学习检出碳星并分类亚型,碳星目录和光谱类别,虽使用恒星光谱但核心任务是分类而非参数估计,stellar spectra与atmospheric parameters在摘要中共同出现,要求参数必须是机器学习的主要输出
qb_012,rq02_stellar_parameters,w4_rq02_020,https://openalex.org/W3122729254,Probing the interior physics of stars through asteroseismology,hard_negative,wrong_modality_no_ml,恒星亮度振荡测光时间序列,综述数值模拟与星震学分析,恒星内部结构约束,不使用恒星光谱且未以机器学习做参数回归,stellar parameters和data等宽泛概念可能造成召回,加入spectroscopic input与ML核心方法约束
qb_013,rq03_spectral_preprocessing,w4_rq03_014,https://openalex.org/W3134861754,A novel stellar spectrum denoising method based on deep Bayesian modeling,scope_in,,SDSS真实恒星光谱,深度贝叶斯生成与噪声模型执行去噪和缺失值恢复,降噪光谱及缺失通量修复,机器学习直接改善恒星光谱质量,denoising和stellar spectrum均对应核心贡献,作为质量恢复正例锚点
qb_014,rq03_spectral_preprocessing,w4_rq03_009,https://openalex.org/W4391340948,Generating Stellar Spectra Using Neural Networks,boundary,generation_vs_preprocessing,合成恒星光谱与恒星参数,自编码器和全连接网络生成归一化光谱,由参数生成的新合成光谱,与光谱重建相邻但目标是生成而非观测光谱去噪或校准,autoencoder、reconstruct和normalized spectrum容易近似命中,区分生成目标与观测质量恢复目标
qb_015,rq03_spectral_preprocessing,w4_rq03_006,https://openalex.org/W2065532082,Astrophysically robust systematics removal using variational inference: application to the first month of Kepler data,hard_negative,wrong_modality,Kepler测光光曲线,贝叶斯模型去除系统误差并对时间序列去噪,校正后的测光光曲线,预处理任务相似但输入不是恒星光谱,systematics removal和denoising与RQ03任务词高度重合,先判定数据模态再匹配处理动作
qb_016,rq03_spectral_preprocessing,w4_rq03_011,https://openalex.org/W2607233176,Unsupervised feature-learning for galaxy SEDs with denoising autoencoders,hard_negative,wrong_object_and_method_name,星系多波段SED,去噪自编码器学习无监督表示,星系族群特征表示,denoising是训练机制且对象为星系SED而非恒星光谱质量恢复,模型名包含denoising会被词法检索高估,识别方法名与论文最终输出并加入天体对象约束
qb_017,rq03_spectral_preprocessing,w4_rq03_012,https://openalex.org/W4388514441,deep-REMAP: Parameterization of Stellar Spectra Using Regularized Multi-Task Learning,hard_negative,downstream_task,合成与观测恒星光谱,正则化多任务学习预测参数,Teff、log g和金属丰度,输入是恒星光谱但核心任务属于RQ02参数估计,regularized和spectral analysis可能被误当作preprocessing,按主要输出区分预处理与下游分析
qb_018,rq03_spectral_preprocessing,w4_rq03_015,https://openalex.org/W4391229918,The first spatio-spectral Bayesian imaging of SN1006 in X-rays,hard_negative,wrong_astronomical_object,超新星遗迹X射线成像观测,贝叶斯重建去噪和去卷积图像,时空-能谱图像及形态分解,同属天文且包含spectral和denoised但数据产品不是恒星光谱,astronomy语境会使简单领域过滤失效,细分天体对象与一维光谱/成像数据产品
qb_019,rq03_spectral_preprocessing,w4_rq03_018,https://openalex.org/W4284680505,Identification of Mine Mixed Water Inrush Source Based on Genetic Algorithm and XGBoost Algorithm: A Case Study of Huangyuchuan Mine,hard_negative,wrong_domain,矿井水UV–Vis吸收光谱,光谱预处理后用GA-XGBoost分类水源,矿井水源类别,处理动作高度相似但研究对象完全错误,preprocessing、denoising、normalization和spectral data全部表面匹配,领域对象必须作为硬约束或强特征
qb_020,rq03_spectral_preprocessing,w4_rq03_019,https://openalex.org/W4353102922,Estimating stellar parameters from LAMOST low-resolution spectra,hard_negative,downstream_task,LAMOST低分辨率恒星光谱,StarGRUNet预测参数和元素丰度,Teff、log g及多种丰度,数据模态正确但主要输出是参数估计而非质量改进,stellar spectra与data processing词项不足以区分RQ02和RQ03,建立任务谓词和输出变量特征
