pair_id,research_query_id,openalex_id,ai_label,confidence,reason,evidence_level,evidence_source,external_lookup_used,evidence_url,audit_status
w4_rq02_011,rq02_stellar_parameters,https://openalex.org/W2795071146,0,high,"t-SNE 用于已知恒星丰度向量的结构分析和 chemical tagging，不执行从光谱到参数的推断。",A,title_abstract,false,,blind_completed
w4_rq02_012,rq02_stellar_parameters,https://openalex.org/W2969434441,2,high,"SLAM 以 LAMOST 光谱为输入，用支持向量回归预测 Teff、log g、金属丰度和多种元素丰度。",A,title_abstract,false,,blind_completed
w4_rq02_013,rq02_stellar_parameters,https://openalex.org/W2139768786,0,high,"机器学习仅用于星震频率提取的质量保证，参数约束来自光变功率谱而非恒星光谱回归。",A,title_abstract,false,,blind_completed
w4_rq02_014,rq02_stellar_parameters,https://openalex.org/W2777402735,0,high,"核心任务是从 LAMOST 光谱识别并分类碳星；大气参数只是少量候选的辅助描述，不是 ML 参数估计输出。",A,title_abstract,false,,blind_completed
w4_rq02_015,rq02_stellar_parameters,https://openalex.org/W3161474384,0,high,"主题是由偶极重力模推断旋转星内部混合，没有从恒星光谱进行机器学习大气参数估计。",A,title_abstract,false,,blind_completed
w4_rq02_016,rq02_stellar_parameters,https://openalex.org/W2740236269,1,high,"SDSS 数据发布明确包含 The Cannon 从 APOGEE 光谱生成恒星参数这一 ML 产品，但论文主体是多巡天数据发布而非参数算法。",A,title_abstract,false,,blind_completed
w4_rq02_017,rq02_stellar_parameters,https://openalex.org/W2006997511,2,high,"核心是用自动分析与分类算法从 Ca II 三重线区恒星光谱稳健估计恒星参数。",A,title_abstract,false,,blind_completed
w4_rq02_018,rq02_stellar_parameters,https://openalex.org/W2531334071,2,high,"用 The Cannon 对 52 万余条 RAVE 光谱做数据驱动重分析，直接推断 Teff、log g 和多元素丰度。",A,title_abstract,false,,blind_completed
w4_rq02_019,rq02_stellar_parameters,https://openalex.org/W2971836485,0,high,"这是引力波双致密星并合事件目录，数据和参数均不是恒星观测光谱与大气参数。",A,title_abstract,false,,blind_completed
w4_rq02_020,rq02_stellar_parameters,https://openalex.org/W3122729254,0,high,"综述通过亮度振荡开展星震学，没有机器学习从恒星光谱估计大气参数的核心任务。",A,title_abstract,false,,blind_completed
w4_rq03_001,rq03_spectral_preprocessing,https://openalex.org/W2745394653,0,high,"卷积网络分析银河中心伽马射线图像与点源贡献，既非恒星光谱，也非光谱预处理。",A,title_abstract,false,,blind_completed
w4_rq03_002,rq03_spectral_preprocessing,https://openalex.org/W7130819561,0,high,"癌症多模态数据与基础模型综述，研究领域、对象和数据均不符合天文恒星光谱 RQ。",A,title_abstract,false,,blind_completed
w4_rq03_003,rq03_spectral_preprocessing,https://openalex.org/W3155899199,0,high,"无线通信的 spectrum sensing 与调制识别并非天文恒星光谱处理。",A,title_abstract,false,,blind_completed
w4_rq03_004,rq03_spectral_preprocessing,https://openalex.org/W3103819337,0,high,"对象是星系 spectro-photometric SED，去噪自编码器用于无监督特征表示与族群结构，不是恒星光谱质量恢复。",A,title_abstract,false,,blind_completed
w4_rq03_005,rq03_spectral_preprocessing,https://openalex.org/W3088227899,0,high,"自编码重建只是学习表示的辅助任务，主要目标是发现与恒星参数相关的潜在特征，并未对观测光谱做降噪或质量恢复。",A,title_abstract,false,,blind_completed
w4_rq03_006,rq03_spectral_preprocessing,https://openalex.org/W2065532082,0,high,"方法清除的是 Kepler 测光光变曲线的系统误差；虽属去噪，但 wrong modality，不是恒星光谱。",A,title_abstract,false,,blind_completed
w4_rq03_007,rq03_spectral_preprocessing,https://openalex.org/W4220667678,1,medium,"比较含机器学习在内的多种方法，以建模并去除恒星活动导致的光谱/RV 扰动；与质量校正相关，但直接产物主要是修正后的 RV 而非光谱预处理。",B,title_abstract;arxiv,true,https://arxiv.org/abs/2201.10639,blind_completed
w4_rq03_008,rq03_spectral_preprocessing,https://openalex.org/W4387971543,0,high,"JADES 红外成像数据发布和测光目录，不是机器学习恒星光谱预处理。",A,title_abstract,false,,blind_completed
w4_rq03_009,rq03_spectral_preprocessing,https://openalex.org/W4391340948,0,high,"网络根据恒星参数生成合成光谱，方向是 parameters-to-spectrum 的 synthesis，不是改善观测光谱质量。",A,title_abstract,false,,blind_completed
w4_rq03_010,rq03_spectral_preprocessing,https://openalex.org/W4399876663,0,high,"这是无监督学习在天文学中的宽泛综述，摘要没有把恒星光谱预处理或质量改进作为核心范围。",A,title_abstract,false,,blind_completed
w4_rq03_011,rq03_spectral_preprocessing,https://openalex.org/W2607233176,0,high,"对象是星系 SED，去噪自编码器服务于特征学习和星系族群表示；wrong object 且非恒星观测光谱清洗。",A,title_abstract,false,,blind_completed
w4_rq03_012,rq03_spectral_preprocessing,https://openalex.org/W4388514441,0,high,"deep-REMAP 的核心输出是 Teff、log g、metallicity 等恒星参数，属于下游回归而非光谱预处理。",A,title_abstract,false,,blind_completed
w4_rq03_013,rq03_spectral_preprocessing,https://openalex.org/W4401837813,0,high,"CWT 把光谱转为特征图并由网络分类 BAFGK 类型；这是下游特征工程与分类，不是降噪、校准或质量恢复。",A,title_abstract,false,,blind_completed
w4_rq03_014,rq03_spectral_preprocessing,https://openalex.org/W3134861754,2,high,"深度贝叶斯模型直接对真实 SDSS 恒星光谱降噪、处理相关噪声、缺失通量、天光线与宇宙线，预处理是核心贡献。",A,title_abstract,false,,blind_completed
w4_rq03_015,rq03_spectral_preprocessing,https://openalex.org/W4391229918,0,high,"处理对象是超新星遗迹 SN1006 的 X 射线成像重建，不是恒星光谱。",A,title_abstract,false,,blind_completed
w4_rq03_016,rq03_spectral_preprocessing,https://openalex.org/W4288083930,0,high,"机器学习模拟并拟合 II 型超新星合成光谱；对象不是恒星，任务也是生成/建模而非观测光谱预处理。",A,title_abstract,false,,blind_completed
w4_rq03_017,rq03_spectral_preprocessing,https://openalex.org/W4306968094,0,high,"综述深度学习分析星系巡天，主要面向星系图像、分类等任务，不是恒星光谱质量改进。",A,title_abstract,false,,blind_completed
w4_rq03_018,rq03_spectral_preprocessing,https://openalex.org/W4284680505,0,high,"虽包含光谱预处理与 XGBoost，但对象是煤矿混合水 UV-Vis 光谱，属于明确的 wrong domain。",A,title_abstract,false,,blind_completed
w4_rq03_019,rq03_spectral_preprocessing,https://openalex.org/W4353102922,0,high,"StarGRUNet 从低分辨率恒星光谱估计大气参数与丰度，核心是下游回归，不是预处理或质量恢复。",A,title_abstract,false,,blind_completed
w4_rq03_020,rq03_spectral_preprocessing,https://openalex.org/W4384201335,0,high,"太阳物理机器学习综述仅泛述自动分析，摘要未提供机器学习直接改善恒星光谱质量的证据。",A,title_abstract,false,,blind_completed
